jurisdiccion_de_residencia_id,provincia_nombre,cie10_causa_id,causa_defuncion,sexo_id,Sexo,grupo_edad,cantidad,codigo,rango_edad,Especialidad,especialidad_disponible,Tasa de Mortalidad Adultos,num_establecimientos
6,BUENOS AIRES,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",9,desconocido,02.De 15 a 34 anios,1,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.7563380015732742,9773
6,BUENOS AIRES,I67,Otras enfermedades cerebrovasculares,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUROLOGÍA,1,0.7563380015732742,9773
42,LA PAMPA,C71,Tumor maligno del encéfalo,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,ONCOLOGÍA,1,0.6524638317267923,703
82,SANTA FE,J98,Otros trastornos respiratorios,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.8106037052668295,2548
30,ENTRE RÍOS,I61,Hemorragia intraencefálica,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUROLOGÍA,1,0.7222905910709475,1158
14,CÓRDOBA,I50,Insuficiencia cardíaca,1,masculino,02.De 15 a 34 anios,3,02,De 15 a 34 anios,CARDIOLOGÍA,1,2.601768414079629,8186
94,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",I64,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUROLOGÍA,1,0.2961290436982439,446
90,TUCUMÁN,J98,Otros trastornos respiratorios,2,femenino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.6322620866082017,2402
62,RÍO NEGRO,J18,"Neumonía, organismo no especificado",2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.5743435493049346,605
86,SANTIAGO DEL ESTERO,J98,Otros trastornos respiratorios,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.6005314419260794,865
38,JUJUY,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,16,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.5449609149572425,673
14,CÓRDOBA,I47,Taquicardia paroxística,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,CARDIOLOGÍA,1,2.601768414079629,8186
2,CIUDAD AUTÓNOMA DE BUENOS AIRES,J98,Otros trastornos respiratorios,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUMONOLOGÍA,1,4.903988474345726,1761
14,CÓRDOBA,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,10,02,De 15 a 34 anios,PSIQUIATRÍA,1,2.601768414079629,8186
6,BUENOS AIRES,J98,Otros trastornos respiratorios,1,masculino,02.De 15 a 34 anios,3,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.7563380015732742,9773
18,CORRIENTES,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,3,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.18515274833088505,713
90,TUCUMÁN,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,27,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.6322620866082017,2402
6,BUENOS AIRES,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",2,femenino,02.De 15 a 34 anios,5,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.7563380015732742,9773
22,CHACO,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,PSIQUIATRÍA,1,1.814367302537006,976
66,SALTA,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",2,femenino,02.De 15 a 34 anios,17,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.514793286430103,1120
2,CIUDAD AUTÓNOMA DE BUENOS AIRES,C92,Leucemia mieloide,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,HEMATOLOGÍA,1,4.903988474345726,1761
34,FORMOSA,R99,Otras causas mal definidas y las no especificadas de mortalidad,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,MEDICINA GENERAL Y/O MEDICINA FAMILIA,1,0.5592865389709595,473
14,CÓRDOBA,J18,"Neumonía, organismo no especificado",1,masculino,02.De 15 a 34 anios,6,02,De 15 a 34 anios,NEUMONOLOGÍA,1,2.601768414079629,8186
6,BUENOS AIRES,J98,Otros trastornos respiratorios,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.7563380015732742,9773
34,FORMOSA,R99,Otras causas mal definidas y las no especificadas de mortalidad,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,MEDICINA GENERAL Y/O MEDICINA FAMILIA,1,0.5592865389709595,473
18,CORRIENTES,J18,"Neumonía, organismo no especificado",1,masculino,02.De 15 a 34 anios,5,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.18515274833088505,713
18,CORRIENTES,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.18515274833088505,713
10,CATAMARCA,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",2,femenino,02.De 15 a 34 anios,7,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.07578053462385934,566
78,SANTA CRUZ,Y20,"Ahorcamiento, estrangulamiento y sofocación, de intención no determinada",1,masculino,02.De 15 a 34 anios,3,02,De 15 a 34 anios,MEDICINA LEGAL,1,0.3947881238311271,351
58,NEUQUÉN,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,11,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.4903119903707241,1287
38,JUJUY,R99,Otras causas mal definidas y las no especificadas de mortalidad,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,MEDICINA GENERAL Y/O MEDICINA FAMILIA,1,0.5449609149572425,673
2,CIUDAD AUTÓNOMA DE BUENOS AIRES,Y20,"Ahorcamiento, estrangulamiento y sofocación, de intención no determinada",1,masculino,02.De 15 a 34 anios,4,02,De 15 a 34 anios,MEDICINA LEGAL,1,4.903988474345726,1761
50,MENDOZA,I21,Infarto agudo del miocardio,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,CARDIOLOGÍA,1,0.674473167775137,2262
2,CIUDAD AUTÓNOMA DE BUENOS AIRES,Y34,"Evento no especificado, de intención no determinada",1,masculino,02.De 15 a 34 anios,3,02,De 15 a 34 anios,MEDICINA LEGAL,1,4.903988474345726,1761
18,CORRIENTES,I21,Infarto agudo del miocardio,1,masculino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,CARDIOLOGÍA,1,0.18515274833088505,713
22,CHACO,E14,"Diabetes mellitus, no especificada",2,femenino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,ENDOCRINOLOGÍA,1,1.814367302537006,976
86,SANTIAGO DEL ESTERO,J18,"Neumonía, organismo no especificado",1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.6005314419260794,865
66,SALTA,J18,"Neumonía, organismo no especificado",2,femenino,02.De 15 a 34 anios,4,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.514793286430103,1120
6,BUENOS AIRES,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,20,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.7563380015732742,9773
62,RÍO NEGRO,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.5743435493049346,605
54,MISIONES,E14,"Diabetes mellitus, no especificada",2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,ENDOCRINOLOGÍA,1,0.5356905212761011,953
34,FORMOSA,I49,Otras arritmias cardiacas,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,CARDIOLOGÍA,1,0.5592865389709595,473
6,BUENOS AIRES,C92,Leucemia mieloide,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,HEMATOLOGÍA,1,0.7563380015732742,9773
86,SANTIAGO DEL ESTERO,J18,"Neumonía, organismo no especificado",2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.6005314419260794,865
6,BUENOS AIRES,C92,Leucemia mieloide,2,femenino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,HEMATOLOGÍA,1,0.7563380015732742,9773
6,BUENOS AIRES,J18,"Neumonía, organismo no especificado",2,femenino,02.De 15 a 34 anios,45,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.7563380015732742,9773
22,CHACO,E14,"Diabetes mellitus, no especificada",2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,ENDOCRINOLOGÍA,1,1.814367302537006,976
50,MENDOZA,I42,Cardiomiopatía,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,CARDIOLOGÍA,1,0.674473167775137,2262
86,SANTIAGO DEL ESTERO,A41,Otras Sepsis,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,INFECTOLOGÍA,1,0.6005314419260794,865
66,SALTA,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",2,femenino,02.De 15 a 34 anios,3,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.514793286430103,1120
6,BUENOS AIRES,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,23,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.7563380015732742,9773
86,SANTIAGO DEL ESTERO,J96,"Insuficiencia respiratoria, no clasificada en otra parte",2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.6005314419260794,865
6,BUENOS AIRES,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,145,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.7563380015732742,9773
86,SANTIAGO DEL ESTERO,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",2,femenino,02.De 15 a 34 anios,5,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.6005314419260794,865
18,CORRIENTES,E14,"Diabetes mellitus, no especificada",1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,ENDOCRINOLOGÍA,1,0.18515274833088505,713
90,TUCUMÁN,J18,"Neumonía, organismo no especificado",1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.6322620866082017,2402
14,CÓRDOBA,Y20,"Ahorcamiento, estrangulamiento y sofocación, de intención no determinada",2,femenino,02.De 15 a 34 anios,6,02,De 15 a 34 anios,MEDICINA LEGAL,1,2.601768414079629,8186
14,CÓRDOBA,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,PSIQUIATRÍA,1,2.601768414079629,8186
50,MENDOZA,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,3,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.674473167775137,2262
62,RÍO NEGRO,R98,Muerte sin asistencia,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,MEDICINA LEGAL,1,0.5743435493049346,605
90,TUCUMÁN,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,17,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.6322620866082017,2402
6,BUENOS AIRES,I50,Insuficiencia cardíaca,1,masculino,02.De 15 a 34 anios,6,02,De 15 a 34 anios,CARDIOLOGÍA,1,0.7563380015732742,9773
66,SALTA,B20,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,INFECTOLOGÍA,1,0.514793286430103,1120
2,CIUDAD AUTÓNOMA DE BUENOS AIRES,Y24,"Disparo de otras armas de fuego, y las no especificadas, de intención no determinada",1,masculino,02.De 15 a 34 anios,13,02,De 15 a 34 anios,MEDICINA LEGAL,1,4.903988474345726,1761
14,CÓRDOBA,C71,Tumor maligno del encéfalo,1,masculino,02.De 15 a 34 anios,4,02,De 15 a 34 anios,ONCOLOGÍA,1,2.601768414079629,8186
66,SALTA,R99,Otras causas mal definidas y las no especificadas de mortalidad,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,MEDICINA GENERAL Y/O MEDICINA FAMILIA,1,0.514793286430103,1120
94,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",J18,"Neumonía, organismo no especificado",1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.2961290436982439,446
82,SANTA FE,A41,Otras Sepsis,1,masculino,02.De 15 a 34 anios,3,02,De 15 a 34 anios,INFECTOLOGÍA,1,0.8106037052668295,2548
14,CÓRDOBA,I71,Aneurisma y disección aórticos,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,CIRUGÍA CARDIOVASCULAR,1,2.601768414079629,8186
90,TUCUMÁN,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,3,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.6322620866082017,2402
54,MISIONES,I42,Cardiomiopatía,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,CARDIOLOGÍA,1,0.5356905212761011,953
14,CÓRDOBA,I47,Taquicardia paroxística,2,femenino,02.De 15 a 34 anios,3,02,De 15 a 34 anios,CARDIOLOGÍA,1,2.601768414079629,8186
66,SALTA,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.514793286430103,1120
54,MISIONES,J98,Otros trastornos respiratorios,2,femenino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.5356905212761011,953
2,CIUDAD AUTÓNOMA DE BUENOS AIRES,X59,Exposición a factores no especificados,1,masculino,02.De 15 a 34 anios,20,02,De 15 a 34 anios,MEDICINA LEGAL,1,4.903988474345726,1761
6,BUENOS AIRES,J18,"Neumonía, organismo no especificado",1,masculino,02.De 15 a 34 anios,46,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.7563380015732742,9773
34,FORMOSA,J18,"Neumonía, organismo no especificado",1,masculino,02.De 15 a 34 anios,4,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.5592865389709595,473
22,CHACO,J18,"Neumonía, organismo no especificado",1,masculino,02.De 15 a 34 anios,5,02,De 15 a 34 anios,NEUMONOLOGÍA,1,1.814367302537006,976
26,CHUBUT,R99,Otras causas mal definidas y las no especificadas de mortalidad,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,MEDICINA GENERAL Y/O MEDICINA FAMILIA,1,0.2636221549937281,956
66,SALTA,J98,Otros trastornos respiratorios,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.514793286430103,1120
14,CÓRDOBA,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,16,02,De 15 a 34 anios,PSIQUIATRÍA,1,2.601768414079629,8186
90,TUCUMÁN,C71,Tumor maligno del encéfalo,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,ONCOLOGÍA,1,0.6322620866082017,2402
66,SALTA,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.514793286430103,1120
6,BUENOS AIRES,J18,"Neumonía, organismo no especificado",2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.7563380015732742,9773
66,SALTA,I50,Insuficiencia cardíaca,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,CARDIOLOGÍA,1,0.514793286430103,1120
66,SALTA,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,40,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.514793286430103,1120
50,MENDOZA,C80,Tumor maligno de sitios no especificados,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,ONCOLOGÍA,1,0.674473167775137,2262
82,SANTA FE,Y20,"Ahorcamiento, estrangulamiento y sofocación, de intención no determinada",2,femenino,02.De 15 a 34 anios,3,02,De 15 a 34 anios,MEDICINA LEGAL,1,0.8106037052668295,2548
46,LA RIOJA,R99,Otras causas mal definidas y las no especificadas de mortalidad,2,femenino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,MEDICINA GENERAL Y/O MEDICINA FAMILIA,1,0.5481659998043183,449
6,BUENOS AIRES,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",2,femenino,02.De 15 a 34 anios,4,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.7563380015732742,9773
66,SALTA,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,5,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.514793286430103,1120
78,SANTA CRUZ,R99,Otras causas mal definidas y las no especificadas de mortalidad,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,MEDICINA GENERAL Y/O MEDICINA FAMILIA,1,0.3947881238311271,351
6,BUENOS AIRES,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",2,femenino,02.De 15 a 34 anios,23,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.7563380015732742,9773
58,NEUQUÉN,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.4903119903707241,1287
22,CHACO,C80,Tumor maligno de sitios no especificados,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,ONCOLOGÍA,1,1.814367302537006,976
42,LA PAMPA,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,4,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.6524638317267923,703
30,ENTRE RÍOS,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.7222905910709475,1158
2,CIUDAD AUTÓNOMA DE BUENOS AIRES,Y24,"Disparo de otras armas de fuego, y las no especificadas, de intención no determinada",1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,MEDICINA LEGAL,1,4.903988474345726,1761
70,SAN JUAN,I21,Infarto agudo del miocardio,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,CARDIOLOGÍA,1,0.6213157091176333,880
54,MISIONES,I42,Cardiomiopatía,1,masculino,02.De 15 a 34 anios,4,02,De 15 a 34 anios,CARDIOLOGÍA,1,0.5356905212761011,953
14,CÓRDOBA,X59,Exposición a factores no especificados,2,femenino,02.De 15 a 34 anios,6,02,De 15 a 34 anios,MEDICINA LEGAL,1,2.601768414079629,8186
6,BUENOS AIRES,C71,Tumor maligno del encéfalo,1,masculino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,ONCOLOGÍA,1,0.7563380015732742,9773
38,JUJUY,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.5449609149572425,673
46,LA RIOJA,I50,Insuficiencia cardíaca,1,masculino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,CARDIOLOGÍA,1,0.5481659998043183,449
86,SANTIAGO DEL ESTERO,R99,Otras causas mal definidas y las no especificadas de mortalidad,2,femenino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,MEDICINA GENERAL Y/O MEDICINA FAMILIA,1,0.6005314419260794,865
82,SANTA FE,A41,Otras Sepsis,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,INFECTOLOGÍA,1,0.8106037052668295,2548
54,MISIONES,I71,Aneurisma y disección aórticos,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,CIRUGÍA CARDIOVASCULAR,1,0.5356905212761011,953
2,CIUDAD AUTÓNOMA DE BUENOS AIRES,I50,Insuficiencia cardíaca,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,CARDIOLOGÍA,1,4.903988474345726,1761
90,TUCUMÁN,I67,Otras enfermedades cerebrovasculares,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUROLOGÍA,1,0.6322620866082017,2402
90,TUCUMÁN,X59,Exposición a factores no especificados,1,masculino,02.De 15 a 34 anios,28,02,De 15 a 34 anios,MEDICINA LEGAL,1,0.6322620866082017,2402
6,BUENOS AIRES,J18,"Neumonía, organismo no especificado",1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.7563380015732742,9773
2,CIUDAD AUTÓNOMA DE BUENOS AIRES,J18,"Neumonía, organismo no especificado",2,femenino,02.De 15 a 34 anios,5,02,De 15 a 34 anios,NEUMONOLOGÍA,1,4.903988474345726,1761
62,RÍO NEGRO,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.5743435493049346,605
2,CIUDAD AUTÓNOMA DE BUENOS AIRES,I42,Cardiomiopatía,1,masculino,02.De 15 a 34 anios,4,02,De 15 a 34 anios,CARDIOLOGÍA,1,4.903988474345726,1761
82,SANTA FE,D37,Tumor de comportamiento incierto o desconocido de la cavidad bucal y de los órganos digestivos,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,ONCOLOGÍA,1,0.8106037052668295,2548
2,CIUDAD AUTÓNOMA DE BUENOS AIRES,Y24,"Disparo de otras armas de fuego, y las no especificadas, de intención no determinada",2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,MEDICINA LEGAL,1,4.903988474345726,1761
30,ENTRE RÍOS,I67,Otras enfermedades cerebrovasculares,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUROLOGÍA,1,0.7222905910709475,1158
50,MENDOZA,N18,Enfermedad renal crónica,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEFROLOGÍA,1,0.674473167775137,2262
82,SANTA FE,J18,"Neumonía, organismo no especificado",1,masculino,02.De 15 a 34 anios,4,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.8106037052668295,2548
18,CORRIENTES,R99,Otras causas mal definidas y las no especificadas de mortalidad,2,femenino,02.De 15 a 34 anios,5,02,De 15 a 34 anios,MEDICINA GENERAL Y/O MEDICINA FAMILIA,1,0.18515274833088505,713
2,CIUDAD AUTÓNOMA DE BUENOS AIRES,Y20,"Ahorcamiento, estrangulamiento y sofocación, de intención no determinada",2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,MEDICINA LEGAL,1,4.903988474345726,1761
10,CATAMARCA,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.07578053462385934,566
